City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
fareham,GB,76.17,56,0,11.5,50.8516,-1.1793,1659009880
vestmanna,FO,52.72,100,100,13.8,62.1564,-7.1664,1659009805
albanel,CA,66.47,75,85,5.59,48.8832,-72.4487,1659009880
caraballeda,VE,83.86,79,20,6.91,10.6112,-66.8522,1659009880
zhezkazgan,KZ,89.58,23,75,17.9,47.8043,67.7144,1659009881
moissala,TD,81.18,76,80,2.77,8.3404,17.7663,1659009881
xianshuigu,CN,75.2,83,40,6.71,38.985,117.3828,1659009881
teya,RU,74.82,56,63,2.68,60.3778,92.6267,1659009881
chara,RU,69.89,58,99,5.57,56.9064,118.2631,1659009881
mahibadhoo,MV,82.29,75,95,16.6,3.7833,72.9667,1659009881
serabu,SL,76.53,89,97,5.66,7.7958,-12.0536,1659009882
montepuez,MZ,82.22,28,33,6.51,-13.1256,38.9997,1659009882
saldanha,ZA,66.43,50,0,12.41,-33.0117,17.9442,1659009607
okhotsk,RU,57.49,88,15,6.06,59.3833,143.3,1659009699
paragominas,BR,81.41,58,2,3.4,-2.9667,-47.4833,1659009835
goderich,CA,69.91,85,0,9.19,43.7501,-81.7165,1659009882
gashua,NG,87.94,45,100,9.91,12.871,11.0482,1659009882
suhbaatar,MN,62.4,68,89,4.7,50.2314,106.2078,1659009883
rassvet,RU,90.01,41,27,2.68,46.8333,40.75,1659009883
gorontalo,ID,75.63,93,92,2.59,0.5412,123.0595,1659009883
ormara,PK,83.14,78,73,17.18,25.2088,64.6357,1659009883
beringovskiy,RU,47.07,91,98,9.01,63.05,179.3167,1659009883
kihei,US,75.85,83,0,12.66,20.785,-156.4656,1659009883
bundu,IN,89.82,63,100,2.26,23.1833,85.5833,1659009883
sale,MA,77.68,61,1,8.05,34.0389,-6.8166,1659009659
krasnyy chikoy,RU,55.83,93,100,2.82,50.3643,108.7512,1659009592
saint anthony,US,60.93,82,0,12.66,45.0205,-93.218,1659009884
touros,BR,78.98,69,28,15.57,-5.1989,-35.4608,1659009884
rudbar,AF,103.64,27,99,9.89,30.15,62.6,1659009884
batagay,RU,74.57,56,34,3.69,67.6333,134.6333,1659009884
venado tuerto,AR,49.77,85,70,9.33,-33.7456,-61.9688,1659009885
matamoros,MX,69.96,67,96,3.27,25.5333,-103.25,1659009885
pacific grove,US,55.89,96,100,11.01,36.6177,-121.9166,1659009885
chernyshevskiy,RU,77.67,55,2,7.2,63.0128,112.4714,1659009885
the valley,AI,83.1,68,0,20.51,18.217,-63.0578,1659009692
alice springs,AU,45.95,31,3,0.0,-23.7,133.8833,1659009736
saint-georges,GD,80.78,77,76,16.75,12.0564,-61.7485,1659009681
aiquile,BO,59.79,52,33,3.09,-18.2041,-65.1807,1659009886
anuchino,RU,71.55,96,97,4.07,43.9622,133.0544,1659009886
gloucester,GB,72.9,59,20,6.91,51.8657,-2.2431,1659009600
timra,SE,69.67,45,75,12.66,62.487,17.3257,1659009886
jishou,CN,76.41,94,86,1.45,28.3167,109.7167,1659009677
jizan,SA,95.05,49,65,6.35,17.3333,42.6667,1659009886
ishigaki,JP,85.66,76,6,13.56,24.3448,124.1572,1659009886
catuday,PH,82.76,74,100,5.79,16.2923,119.8062,1659009886
manggar,ID,81.5,80,84,10.36,-2.8833,108.2667,1659009887
altay,CN,86.02,22,56,9.91,47.8667,88.1167,1659009887
saint-philippe,RE,76.59,77,44,11.21,-21.3585,55.7679,1659009887
xichang,CN,72.73,78,27,4.38,27.8964,102.2634,1659009887
barcelona,ES,89.01,65,20,9.22,41.3888,2.159,1659009782
mount pleasant,US,82.98,87,0,5.75,32.7941,-79.8626,1659009887
umarkhed,IN,86.61,65,88,4.5,19.6,77.7,1659009887
udachnyy,RU,86.04,50,57,6.6,66.4167,112.4,1659009888
shilka,RU,61.2,75,85,1.1,51.85,116.0333,1659009888
port macquarie,AU,48.88,79,40,5.7,-31.4333,152.9167,1659009888
general roca,AR,41.63,58,7,12.03,-39.0333,-67.5833,1659009888
aquiraz,BR,82.49,63,73,12.5,-3.9014,-38.3911,1659009888
la asuncion,VE,79.97,82,9,8.16,11.0333,-63.8628,1659009888
putina,PE,42.8,42,48,3.91,-15.4667,-69.4333,1659009889
phuket,TH,88.09,94,20,3.44,8.0,98.25,1659009810
krasnoselkup,RU,68.11,52,23,13.76,65.7,82.4667,1659009889
la ronge,CA,51.78,75,14,4.32,55.1001,-105.2842,1659009889
yuncheng,CN,82.44,53,0,1.81,35.0231,110.9928,1659009889
kertosono,ID,75.6,82,53,9.55,-7.5833,112.1,1659009889
araouane,ML,102.4,25,82,15.21,18.9048,-3.5265,1659009889
bairiki,KI,80.6,78,20,9.22,1.3292,172.9752,1659009889
rundu,NA,82.92,14,5,8.3,-17.9333,19.7667,1659009890
zahirabad,IN,84.31,65,82,2.33,17.6833,77.6167,1659009890
sumenep,ID,79.23,74,11,11.56,-7.0167,113.8667,1659009890
chulym,RU,79.29,48,64,9.69,55.0997,80.9572,1659009678
beira,MZ,73.26,51,1,9.69,-19.8436,34.8389,1659009890
formosa,AR,71.58,60,0,8.05,-26.1775,-58.1781,1659009890
arman,RU,55.02,92,100,5.7,59.7,150.1667,1659009891
malakal,SS,81.91,68,99,4.72,9.5334,31.6605,1659009891
thinadhoo,MV,83.61,72,77,15.84,0.5333,72.9333,1659009891
severodvinsk,RU,77.11,89,99,4.99,64.5635,39.8302,1659009834
ahipara,NZ,54.84,75,15,10.96,-35.1667,173.1667,1659009891
gornopravdinsk,RU,70.52,48,100,9.62,60.05,69.9,1659009891
apastovo,RU,77.47,54,78,9.46,55.2029,48.5109,1659009652
saucillo,MX,70.65,71,100,7.43,28.0167,-105.2833,1659009892
noumea,NC,62.58,75,11,4.25,-22.2763,166.4572,1659009892
ampanihy,MG,78.66,27,0,12.64,-24.7,44.75,1659009892
cocobeach,GA,78.35,76,77,12.3,1.0002,9.5823,1659009892
phan thiet,VN,81.3,83,44,6.87,10.9333,108.1,1659009892
tupik,RU,61.11,97,83,4.65,54.4253,119.9327,1659009892
ixtapa,MX,79.23,100,75,3.44,20.7,-105.2,1659009893
sorland,NO,53.46,66,71,7.49,67.667,12.6934,1659009893
eyl,SO,89.82,44,98,24.23,7.9803,49.8164,1659009893
havoysund,NO,50.23,77,100,17.78,70.9963,24.6622,1659009893
roald,NO,66.16,67,40,5.75,62.5833,6.1333,1659009893
kulhudhuffushi,MV,81.7,80,91,19.35,6.6221,73.07,1659009894
gazojak,TM,100.56,14,37,10.8,41.1875,61.4036,1659009894
winnemucca,US,64.45,34,0,6.91,40.973,-117.7357,1659009894
ancud,CL,43.18,90,50,1.99,-41.8697,-73.8203,1659009894
tukuyu,TZ,72.63,47,81,8.84,-9.25,33.65,1659009894
khartoum,SD,92.01,46,79,4.0,15.5518,32.5324,1659009719
netrakona,BD,88.45,70,98,2.33,24.8833,90.7167,1659009895
moba,CN,63.37,74,78,2.51,33.2288,105.0179,1659009895
san cristobal,VE,66.38,92,100,3.29,7.7669,-72.225,1659009895
verkhnevilyuysk,RU,74.26,72,17,5.82,63.4453,120.3167,1659009895
neryungri,RU,63.9,98,100,4.36,56.6709,124.6491,1659009848
kindu,CD,87.21,44,100,2.57,-2.95,25.95,1659009662
uthal,PK,86.2,73,97,16.4,25.8072,66.6219,1659009895
cam ranh,VN,85.96,70,20,1.14,11.9214,109.1591,1659009895
gigmoto,PH,81.28,84,100,3.49,13.7796,124.39,1659009896
rameswaram,IN,82.71,76,78,9.6,9.2833,79.3,1659009896
road town,VG,84.24,70,40,10.36,18.4167,-64.6167,1659009858
inhambane,MZ,70.95,53,82,8.84,-23.865,35.3833,1659009896
sulangan,PH,85.6,72,79,6.11,11.1373,123.7228,1659009896
mount isa,AU,60.57,27,0,8.05,-20.7333,139.5,1659009896
akyab,MM,85.46,75,28,11.07,20.15,92.9,1659009773
neuquen,AR,43.9,64,7,20.42,-38.9516,-68.0591,1659009699
wamba,NG,76.37,86,100,6.31,8.9333,8.6,1659009897
talnakh,RU,66.22,49,6,12.55,69.4865,88.3972,1659009897
maku,IR,89.29,25,0,8.03,39.2911,44.4521,1659009897
saint-augustin,CA,54.7,74,87,10.18,51.226,-58.6502,1659009897
magadi,IN,87.96,60,86,4.34,12.9667,77.2333,1659009897
lima,PE,57.9,91,75,2.8,-12.0432,-77.0282,1659009867
luanda,AO,74.1,71,97,9.82,-8.8368,13.2343,1659009645
salvador,SV,70.05,98,100,1.97,13.8333,-88.9167,1659009623
khandyga,RU,68.83,58,59,1.01,62.6667,135.6,1659009898
villa carlos paz,AR,48.4,37,49,1.99,-31.4241,-64.4978,1659009898
dukat,RU,49.73,55,100,2.1,62.55,155.55,1659009898
shu,KZ,98.04,16,34,13.53,43.5983,73.7614,1659009864
itarema,BR,82.54,58,55,14.25,-2.9248,-39.9167,1659009899
ikalamavony,MG,78.93,33,6,2.48,-21.15,46.5833,1659009899
murray bridge,AU,48.34,89,91,4.79,-35.1167,139.2667,1659009899
savannah bight,HN,81.39,78,44,18.52,16.45,-85.85,1659009899
marsabit,KE,77.14,38,67,19.13,2.3284,37.9899,1659009899
batagay-alyta,RU,75.76,55,52,3.85,67.8006,130.4114,1659009900
isiro,CD,72.21,83,100,0.56,2.7739,27.616,1659009900
caravelas,BR,75.27,65,12,1.19,-17.7125,-39.2481,1659009900
jaltenango,MX,66.96,97,88,1.79,15.8719,-92.7247,1659009900
grindavik,IS,48.67,93,100,17.27,63.8424,-22.4338,1659009901
abha,SA,69.4,61,68,8.79,18.2164,42.5053,1659009622
kudahuvadhoo,MV,82.47,75,88,15.01,2.6708,72.8944,1659009901
belyy yar,RU,75.85,45,0,6.71,53.6039,91.3903,1659009902
north myrtle beach,US,83.34,91,71,10.74,33.816,-78.68,1659009692
chipinge,ZW,67.95,29,0,9.78,-20.1883,32.6236,1659009902
pueblo nuevo,MX,53.85,93,98,3.42,23.3833,-105.3833,1659009902
tacuarembo,UY,63.39,97,100,5.28,-31.7333,-55.9833,1659009902
iberia,US,78.87,94,0,3.44,29.9502,-91.7507,1659009902
berlevag,NO,50.0,93,100,19.57,70.8578,29.0864,1659009903
faya,SA,84.72,44,66,11.65,18.3851,42.4509,1659009903
moron,AR,50.92,87,100,11.03,-34.6534,-58.6198,1659009771
palmas bellas,PA,75.25,88,97,5.23,9.2319,-80.0867,1659009904
poli,TZ,68.5,54,83,7.63,-3.3333,36.8,1659009904
nichinan,JP,78.82,90,25,9.06,31.6,131.3667,1659009904
bulawayo,ZW,71.13,18,0,10.78,-20.15,28.5833,1659009904
kinablangan,PH,80.65,86,100,9.55,7.6947,126.5503,1659009904
mitsamiouli,KM,76.64,70,44,8.55,-11.3847,43.2844,1659009904
vostok,RU,68.56,87,91,3.4,46.4856,135.8833,1659009905
manadhoo,MV,81.93,79,87,19.13,5.7667,73.3833,1659009905
belmonte,BR,71.06,75,47,3.83,-15.8631,-38.8828,1659009905
comodoro rivadavia,AR,44.46,49,0,5.75,-45.8667,-67.5,1659009905
prince rupert,CA,53.69,94,0,3.44,54.3161,-130.3201,1659009906
menongue,AO,82.81,9,95,6.91,-14.6585,17.691,1659009906
ambon,ID,80.74,14,75,8.05,-3.6954,128.1814,1659009906
great yarmouth,GB,73.09,60,99,14.56,52.6083,1.7305,1659009906
frontignan,FR,87.94,42,31,10.04,43.4485,3.754,1659009906
ardakan,IR,102.58,23,38,14.16,32.31,54.0175,1659009906
baruun-urt,MN,68.32,42,5,12.93,46.6806,113.2792,1659009819
paamiut,GL,42.13,88,15,18.12,61.994,-49.6678,1659009907
cockburn town,TC,80.56,76,9,19.69,21.4612,-71.1419,1659009907
astoria,US,59.47,96,100,0.0,46.1879,-123.8313,1659009857
bani,DO,79.86,62,16,11.27,18.2833,-70.3333,1659009660
nancha,CN,73.71,95,79,1.43,47.1333,129.2667,1659009907
kalispell,US,65.66,84,0,0.0,48.1958,-114.3129,1659009907
kalemie,CD,81.05,45,37,9.15,-5.9475,29.1947,1659009908
novyy svit,UA,88.93,30,41,5.95,47.8059,38.0211,1659009908
stokmarknes,NO,53.56,66,75,8.05,68.5646,14.9108,1659009908
cairns,AU,67.95,68,100,11.5,-16.9167,145.7667,1659009781
lichtenburg,ZA,69.31,28,59,16.15,-26.152,26.1597,1659009670
mount gambier,AU,39.11,93,75,0.0,-37.8333,140.7667,1659009908
